Data;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;;monit_pib_fgv;monit_pibagro_fgv;monit_pibind_fgv;monit_pibserv_fgv;;100;100;100;100
nov/02;120,144;98,76;116,198;123,805;;0,999771141;1,000002836;0,999401589;0,999941382;;nov/02;0,0010;-0,3570;0,0291;0,0224;;set/10;0,029324688;-0,142979712;0,038850077;0,033738974;;152,2414348;118,4505652;166,0481653;143,0801485
dez/02;114,625;110,177;102,85;120,581;;0,999540635;1,001156035;0,998851271;0,99973959;;dez/02;-0,0330;-0,0369;-0,0862;-0,0086;;dez/10;-0,008036261;0,008142733;-0,056314453;0,015797412;;151,0179829;119,4150765;156,6972537;145,3404445
jan/03;111,3;104,238;99,184;116,868;;0,999709924;0,999460958;0,999643559;0,999692074;;jan/03;-0,0978;0,0619;-0,2102;-0,0627;;mar/11;0,034347374;0,755703423;0,041729276;-0,020835292;;156,2050541;209,6574586;163,2361166;142,3122339
fev/03;112,485;167,443;95,18;115,024;;1,000106469;1,006063528;0,999596306;0,999842215;;fev/03;-0,0643;0,6684;-0,1908;-0,0726;;jun/11;-0,001363139;-0,335851691;0,041696342;0,018876715;;155,9921249;139,2436467;170,0424656;144,9986214
mar/03;116,944;223,36;100,091;114,941;;1,000396408;1,003339465;1,00051597;0,999992784;;mar/03;0,0213;0,8879;-0,0244;-0,0473;;set/11;0,009295412;-0,108876;0,019413723;0,012592048;;157,442136;124,0833554;173,343623;146,824451
abr/03;116,972;207,443;102,119;116,104;;1,000002394;0,999287384;1,000202616;1,000101182;;abr/03;0,0505;0,8704;0,0315;-0,0064;;dez/11;-0,011660166;0,031232829;-0,061693774;0,011793893;;155,6063345;127,9588297;162,6494006;148,5560828
mai/03;116,66;144,11;108,56;117,804;;0,999973327;0,996946969;1,000630735;1,00014642;;mai/03;0,0372;-0,0437;0,1350;0,0240;;mar/12;0,03476455;0,545933493;0,025248388;0,000265154;;161,0159187;197,8158405;166,7560358;148,5954731
jun/03;115,309;141,221;105,878;118,298;;0,999884193;0,999799528;0,999752948;1,000041934;;jun/03;-0,0140;-0,3963;0,0586;0,0290;;jun/12;-0,01585698;-0,190767553;-0,010759794;0,003822565;;158,4626925;160,0789966;164,9617752;149,1634889
jul/03;119,985;171,423;112,983;119,828;;1,000405519;1,002138634;1,000671055;1,000129334;;jul/03;0,0263;-0,1121;0,1055;0,0318;;set/12;0,005455204;-0,146412239;0,038489726;0,003517284;;159,3271388;136,6414723;171,3111088;149,6881392
ago/03;119,422;146,784;114,049;120,521;;0,999953077;0,998562678;1,00009435;1,000057833;;ago/03;0,0243;0,0498;0,0518;0,0229;;dez/12;0,005357091;-0,071435233;-0,069208932;0,041570074;;160,1806688;126,8804568;159,45485;155,9106862
